sentence	paragraph	Alatopiikki	kommentti	textid	indicatorword	indicator.deprel	headverb_lemma	headverb_person	words_total	kokoteksti
Asumisen hoidin vaihtareille tarkoitetun OeAD-järjestön kautta.	Asumisen hoidin vaihtareille tarkoitetun OeAD-järjestön kautta. Asuin koko vuoden omassa yksiössä, jonka vuokra oli vähän alle 500€/kk. Asuntoni oli 15. kaupunginosassa eli ei ihan keskustassa, mutta kattavan joukkoliikenteen ansiosta keskusta oli vain noin vartin metromatkan päässä. Lisäksi yksiöni oli varsin tilava ja kaikki kalusteet olivat suhteellisen hyvässä kunnossa, koska rakennus oli valmistunut 2009. Kerran viikossa asunnossani kävi myös siivooja, mikä tuntui olevan varsin yleinen käytäntö varsinkin vaihtareiden asunnoissa. Olin tyytyväinen asuntooni, vaikka olisin tietenkin säästänyt vuokrakuluissa, jos olisin nähnyt vaivaa ja etsinyt esimerkiksi kimppakämppää yksityisiltä markkinoilta niin kuin jotkut kaverini tekivät.	kyllä		322	asua	dobj	hoitaa	Sing.1	23	https://puolukka.uta.fi/jhout/analyzer/index.php?id=322
Yliopisto lähetti minulle hyvissä ajoin asuntotarjouksen.	Yliopisto lähetti minulle hyvissä ajoin asuntotarjouksen. En tiennyt asunnosta muuta kuin vuokran (330 € sisältäen kaiken), osoitteen ja asumismuodon (oma kalustettu huone, jaettu wc ja keittiö). Hyväksyin tarjouksen, koska toista tarjousta yliopisto ei olisi lähettänyt.	ei		639	asunto#tarjous	dobj	lähettää	Sing.3	35	https://puolukka.uta.fi/jhout/analyzer/index.php?id=639
Asunnon olin hankkinut jo aiemmin Facebookin avulla yksityiseltä vuokranantajalta, mutta tarpeellista se ei ole.	Asunnon olin hankkinut jo aiemmin Facebookin avulla yksityiseltä vuokranantajalta, mutta tarpeellista se ei ole. Hostellit ovat hyviä ja halpoja ja niissä voi viettää helposti muutaman viikon ennen kuin asunto tai asuntolapaikka löytyy. Ljubljanassa on paljon myös yksityisiä asuntoja tarjolla opiskelijoille, joten kaikille kyllä varmasti paikka löytyy. Vuokrien hinnat ovat melko korkeat verrattuna yleiseen hintatasoon. Kannattaa myös olla valppaana asuntoa etsiessä internetissä, sillä pari vaihto-opiskelijaa taisi tulla myös huijatuksi. Sloveniaan tullessa jokaisen täytyy hakea Resident Permit, jotta voit viipyä maassa haluamasi ajan. Ljubljanassa on julkinen bussiliikenne, jolla pääsee hyvin eri puolelle kaupunkia. Mutta koska paikka on pieni, taittuu matka nopeammin pyöräillen. Ljubljanassa on käytössä citypyörät, joiden vuokraaminen maksaa vain 3€ vuodessa.	?		711	asunto	dobj	hankkia	--	110	https://puolukka.uta.fi/jhout/analyzer/index.php?id=711
Asunnon varasin paikallista vuokramarkkinaa hoitavan Kopparstaden-palvelun kautta.	Asunnon varasin paikallista vuokramarkkinaa hoitavan Kopparstaden-palvelun kautta. Nettisivut vaikuttivat alkuun sekavilta, mutta onnistuin lopulta saamaan kolmen hengen solusta asunnon. Ruotsin taitoni auttoivat kyllä paljon tässä samoin kuin muussakin käytännön asioissa vaihdon aikana: lähes kaikkien ikäisteni suomalaisten tapaan ymmärrän kyllä lukiessa ruotsia hyvin, vaikka puhuminen onkin vaikeaa.	kyllä		565	asunto	dobj	varata	Sing.1	46	https://puolukka.uta.fi/jhout/analyzer/index.php?id=565
Itse hankin asunnon jo Suomesta käsin, asuin College Courtissa joka sijaitsee aivan kampuksen kyljessä.	Itse hankin asunnon jo Suomesta käsin, asuin College Courtissa joka sijaitsee aivan kampuksen kyljessä. Kävelin luennoille viisi minuuttia. College Court on edullinen valinta (itse maksoin 260e +n.20e laskuihin/kk) ja sijainniltaan aivan loistava. Mutta siellä asuu lähes pelkästään irlantilaisia ja talot ovat vuosien opiskelija-asumisen jäljiltä aika hirveässä kunnossa. Itse asuin viiden irlantilaisen pojan kanssa ja kämppä oli sen mukainen. Kaverini Suomesta sanoi kyläillessään että koko talo tulisi laittaa jätesäkkiin; kuvaa aika hyvin paikan tasoa. Parikymppiset irlantilaiset eivät ole vielä kovinkaan itsenäisiä, kaikki lähtevät viikonlopuiksi kotiin pesettämään vaatteensa äideillään. Yksityiseltä vuokratessa kaikki sujui kuitenkin ongelmitta. Muut vaihtarit asuivat on campus tai off campus asuntoloissa. On campus asuntolat vaikuttivat kaikki omaan silmään aika samantasoisilta eli todella hyviltä, Cappavilla oli sijainniltaan huonoin. On campus asuntolat ovat hyvin kysyttyjä ja hinnaltaan aika suolaisia, kun kyseessä kuitenkin soluhuoneet. Off campus -asuntoloissa en käynyt kertaakaan, mutta ainakin Brookfield Hall on aika kaukana kampukselta.	?		254	asunto	dobj	hankkia	Sing.1	148	https://puolukka.uta.fi/jhout/analyzer/index.php?id=254
Kv. koordinaattori Maggy oli suuri apu asuntoa etsittäessä.	Kv. koordinaattori Maggy oli suuri apu asuntoa etsittäessä. Hän lähetti Suomeen sähköisen kyselyn mahdollisista toiveista ja ehdotti sen mukaan asuntoa.	ei		558	asunto	dobj	apu	--	20	https://puolukka.uta.fi/jhout/analyzer/index.php?id=558
Rupesin hyvissä ajoin kyselemään asuntoa asunnonvälittäjä Wendyltä.	Rupesin hyvissä ajoin kyselemään asuntoa asunnonvälittäjä Wendyltä. Samoihin aikoihin tapasin kaksi muuta opiskelijaa yliopistolta, jotka olivat lähtemässä samaan kohteeseen. Toisen opiskelijan kanssa sovimme, että otamme yhteisen asunnon. Varasimme tilavan 3h, keittiö, 2 parveketta ja 2 kylppäriä Sunnyvillestä. Taisi olla vähän alle 200 e/hlö. Sunnyvillen valitsimme siksi, että sen yhteydessä oli enemmän palveluita. Sieltä löytyi mm. ravintola, parturi, pesula ja kauppa. Otimme asunnon kolmella huoneella, jotta voimme majoittaa ystäviämme, jotka olivat tulossa vierailulle.	?		459	asunto	dobj	ruveta	Sing.1	73	https://puolukka.uta.fi/jhout/analyzer/index.php?id=459
Etsin asunnon vasta paikan päällä, sillä minulla oli kaupungissa kavereita, joiden luona sain viettää ensimmäiset pari viikkoa.	Etsin asunnon vasta paikan päällä, sillä minulla oli kaupungissa kavereita, joiden luona sain viettää ensimmäiset pari viikkoa. Paras tapa asunnonhakuun on hankkia paikallinen puhelinnumero ja soitella ilmoituksien perusteella. Aluksi otin yhteyttä viestein ja WhatsAppin kautta, mutta lopulta rohkaistuin ja soittamalla asunnonhaku nopeutuikin huomattavasti. Kävin katsomassa arviolta kymmentä huonetta ennen kuin löysin ensimmäisen asuntoni. Olin jo etukäteen katsonut alueita ja tiesin suurinpiirtein, mitä etsin. Taso vaihteli suuresti asuntojen välillä ja suurin osa rakennuksista on vanhoja eikä esimerkiksi lämmityksestä ole tietoakaan. Muutin vaihtovuoteni aikana useamman kerran ja vuokrani vaihteli 250 – 300 euron välillä. Asuntoa hankkiessa on tärkeää myös selvittää, sisältyvätkö muut kulut (sähkö, vesi, kaasu, internet) vuokraan, sillä näiden osuus voi nostaa kuukausittaisia elinkuluja huomattavasti. Ylipäätään suosittelen hankkimaan asunnon vasta paikan päällä, sillä usein ilmoituksessa olevat kuvat antavat ymmärtää jotain ihan muuta kuin mitä huone tai asunto todellisuudessa on. Myöskään vuokrasopimus ei ole normi, vaikka ensimmäisessä asunnossa asuessani kirjoitimmekin asianmukaiset paperit.	?		191	asunto	dobj	etsiä	Sing.1	150	https://puolukka.uta.fi/jhout/analyzer/index.php?id=191
Asuntoa voi hakea BNU nettijärjestelmän kautta, johon saa ohjeet hyväksymispaketin kanssa.	Asuntoa voi hakea BNU nettijärjestelmän kautta, johon saa ohjeet hyväksymispaketin kanssa. Kannattaa olla heti varaamassa itselleen asuntoa, mikäli haluaa oman huoneen, sillä asunnot viedään käsistä. Muutaman tunnin kuluttua edes jaettuja huoneita ei välttämättä ole tarjolla. BNU asunnot maksavat tasosta riippuen 40-95 RMB/päivä. 95 RMB/päivä voi vuokrata jo vapailta markkinoilta oman huoneen. Vuokrat ovat kuitenkin nousseet Pekingissä kovaa vauhtia viime vuosina ja asuminen kampuksella on helppoa ja erittäin suositeltavaa, jos opiskelee vain yhden lukukauden. Jos koulun ulkopuolelta vuokraa kämpän, niin kannattaa etsiä kiinaa puhuva kaveri auttamaan, ellei oma kiina riitä. En ole ikinä kuullut englantia puhuvasta kiinteistö agentista tai vuokranantajasta, vaikka heitä varmastikin on muutama.	kyllä		377	asunto	dobj	hakea	--	106	https://puolukka.uta.fi/jhout/analyzer/index.php?id=377
Asuntoni sain vuokrattua Apartiksen( paikallinen TOAS) kautta.	Asuntoni sain vuokrattua Apartiksen (paikallinen TOAS) kautta. Vaihtareille on varattu kaksi erillistä taloa, toinen (Beauregard) sijaitsee aivan kaupungin keskustassa juna-aseman ja yliopiston päärakennuksen vieressä ja toinen (Bellevue) puolestaan noin 20 minuutin kävelymatkan päässä keskustasta. Asuntohakemus toimitettiin myös kaikkien muiden hakemuspapereiden yhteydessä eli hakuprosessi oli siis senkin osalta tehty todella helpoksi. Itse asuin kolmen hengen solussa keskustan vaihtaritalossa, joka oli mielestäni sijaintiinsa nähden melko edullinen asunto, sillä vuokraan sisältyi vesi, sähkö ja nettiyhteys. Koin vaihtaritalossa asumisen minulle parhaana vaihtoehtona, sillä kaikki vaihtarikaverit asuivat lähellä, ja näin ollen illanviettoihin ja muihin oli todella helppoa osallistua. Sveitsin hintataso on yleisesti ottaen tietysti melko korkea, mutta näin suomalaiselle se ei kuitenkaan mielestäni kovin suurena shokkina tullut, joten sen vuoksi en missään nimessä jättäisi Sveitsiin lähtemättä. Kaupoista löytyvät yhtälailla halvemmat merkit hyvinä vaihtoehtoina aivan kuin Suomessakin.	kyllä		732	asunto	dobj	saada	Sing.1	29	https://puolukka.uta.fi/jhout/analyzer/index.php?id=732
Opiskelijoille asuminen oli organisoitu dormiin nimeltä Gonzaga hall. Sijainniltaan asuntola oli kampuksen sisäreunalla ja hyvällä sijainnilla monellakin tapaa.	Opiskelijoille asuminen oli organisoitu dormiin nimeltä Gonzaga hall. Sijainniltaan asuntola oli kampuksen sisäreunalla ja hyvällä sijainnilla monellakin tapaa. Asumisen järjestäminen muualta olisi ollut hieman työläämpää, koska vuokramarkkinat ovat ulkomaalaisille haasteellisempia. Usein esim. joutuu maksamaan korkeampaa vuokraa tai vaihtoehtoisesti maksamaan vuokranvakuuden, joka saattoi olla tuhansia euroja. Jos olisin opiskellut vuoden tai pidempään olisin hankkinut oman asunnon tai huoneen, mutta lyhyeksi aikaa 4-6kk dormiasuminen oli hyvä ja helppo vaihtoehto. Asuntolassa oli lähes kaikki paikalliseen opiskelukulttuuriin liittyvät palvelut kuten esim. ruokala, jossa tarjottiin suhteellisen edullinen aamiainen ja illallinen. Itse söin illallisen noin 1-2 kertaa viikossa, mikä oli mukava asia, kun ei jaksanut tai ehtinyt lähteä muualle syömään. Asuntolassa oli edullinen itsepalvelupesula, pienehkö kuntosali, jääkaapit ja vesiautomaatit kerroksittain, ulkopuolella 24h auki oleva kauppa. Näitä palveluita tuli hyödynnettyä paljon. Asuntolan vuokra oli suhteellisen korkeahko, mutta asuntola oli laadukas. Joillekin huonekaverin läsnäolo saattoi olla haastavaa, yksityisyyden puuttumisen vuoksi, mutta siihen tottui ja huonekaverista sai hyvän kaverin helposti. Itse valitsin ulkomaalaisen opiskelijan, koska paikalliset saattoivat opiskella liiankin ahkeraan ja suomalaista huonekaveria en halunnut. Lopulta sain koreankiinalaisen huonekaverin. Joillekin dormin säännöt saattoivat tuottaa hankaluuksia, koska siellä oli eräänlainen kotiintuloaika eikä yöllä saanut poistua ilman miinuspisteitä, mutta minä en sitä sen suuremmin huomioinut eikä se kenellekään tuottanut ongelmia. Internetistä löytyy myös paljon välittäjiä vapaille markkinoille.	?		438	asua	dobj	organisoida	--	206	https://puolukka.uta.fi/jhout/analyzer/index.php?id=438
Hain jo syksyllä asuntolapaikkaa ja sainkin paikan vaihtareille osoitetusta asuntolasta.	Hain jo syksyllä asuntolapaikkaa ja sainkin paikan vaihtareille osoitetusta asuntolasta. Lueskeltuani uudemman kerran aiempia vaihtotarinoita ja kokemuksia rauhattomista asuntoloista Ljubljanassa päädyin kuitenkin etsimään asuntoa yksityisiltä markkinoilta ja löysinkin vuokravälityssivustolta oman huoneen jo ennen saapumistani paikalle. Hinta viiden hengen jakamasta asunnosta yhden hengen huoneesta lähellä keskustaa oli 180€ kuussa + sähkö ja vesimaksut, yhteensä kuukaudesta riippuen noin 230€, mikä keskustan välittömässä läheisyydessä oli normaali tai jopa edullinen hinta. Normaalihintataso keskustassa ja sen liepeillä vaihtelee n. 300€ tietämillä.	?		720	asun#tola#paikka	dobj	hakea	Sing.1	76	https://puolukka.uta.fi/jhout/analyzer/index.php?id=720
"CUHKin hakuvaiheessa tulee laittaa järjestykseen asumisvaihtoehdot, jotka ovat international house, collegen asuntola tai collegen asuntola johon kuuluu ""communal dinner""tiistaista torstaihin."	"CUHKin hakuvaiheessa tulee laittaa järjestykseen asumisvaihtoehdot, jotka ovat international house, collegen asuntola tai collegen asuntola johon kuuluu ""communal dinner"" tiistaista torstaihin. Itse laitoin vaihtoehdot edellä olevaan järjestykseen ja minut sijoitettiin Lee Woo Singin asuntolaan, joka on kampuksen uusin asuntola."	ei		395	asua#vaihto#ehto	dobj	tulla	Sing.3	52	https://puolukka.uta.fi/jhout/analyzer/index.php?id=395
Asunnon olin hommannut jo etukateen Suomesta kasin eraan valitysfirman kautta.	Asunnon olin hommannut jo etukateen Suomesta kasin eraan valitysfirman kautta. Asunto oli aika kallis paikalliseen hintatasoon nahden (vuokra sisaltaen vedet, sahkot yms. oli 1800 zł eli noin 400 €) mutta asunto oli vasta rempattu ja aivan keskustassa. Muista vaihtareista poiketen asuin yksin ja yksiot ovat suhteessa aika kalliita Puolassa, aivan kuten muuallakin maailmassa. Jos haluaa asua kamppisten kanssa, niin huoneen saa keskustan tuntumasta noin 900 złotylla.	kyllä		493	asunto	dobj	hommata	--	66	https://puolukka.uta.fi/jhout/analyzer/index.php?id=493
Asunnon hankin paikalliselta opiskelija-asuntosäätiöltä( CROUS) yliopiston ilmoittautumisen yhteydessä.	Asunnon hankin paikalliselta opiskelija-asuntosäätiöltä (CROUS) yliopiston ilmoittautumisen yhteydessä. CROUSin asunnot ovat pääasiassa, kuten minunkin asuntoni oli, asuntolakampuksilla sijaitsevia 9 neliömetrin huoneita kerroskeittiöllä ja omalla kylpyhuoneella. Asuntola on helppo ja edullinen ratkaisu (oma vuokrani oli vain 235e/kk), mutta jos nyt saisin valita, asuisin mieluummin paikallisen kämppiksen/kämppiksien kanssa yksityisellä. Yksi ystäväni asui näin, ja sitä tilan määrää ja etenkin asunnossa olevaa keittiötä kävi kateeksi. Lisäksi kämppis on tietenkin hyvä väylä tutustua paikallisiin ja käyttää kieltä päivittäin. Kämppistä hakevia ranskalaisia löytyy netistä pilvin pimein erilaisilta colocataire-sivustoilta.	kyllä		544	asunto	dobj	hankkia	Sing.1	85	https://puolukka.uta.fi/jhout/analyzer/index.php?id=544
Saavuttuamme asuntolaamme, Avant-Garden:iin, huomasimme nopeasti mihin paholaisen loukkuun olimme päätyneet.	Saavuttuamme asuntolaamme, Avant-Garden:iin, huomasimme nopeasti mihin paholaisen loukkuun olimme päätyneet. Maksoimme vuokraa 350e/kk, joka luultavasti oli koko kaupungin edullisin. Huoneiden yleisilme oli saastainen ja tupakan haju leijaili jokapuolella. Opiskelijoilla oli tapana estottomasti polttaa sisätiloissa, eikä henkilökunta tätä vastustellut. Itseasiassa osa henkilökunnasta poltti itsekin sisätiloissa. Tupakan lisäksi marihuanaa poltettiin käytävillä avoimesti ja saimme vaikutelman että koko talossa ei olisi palovaroittimia lainkaan. Henkilökohtaiset huoneemme olivat hyvin siistit ja sisälsivät omat vessat ja suihkut, mikä oli erittäin positiivista. Osa suihkuista ei toiminut kunnolla ja yhdellä vessan katosta valui vettä. Asuntolassa oli keittiö ja pesutupa joka kerroksessa. Oman keittiömme siisteys oli kehno, kerroksemme ihmiset eivät pitäneet siisteyttä yllä ja saapuessamme lattialla oli hometta, joka kuoli ajan myötä ilmeisesti kulutettuaan kaiken ravintonsa. Osan ajasta keittiössä leijui sietämätön oksennuksen haju, jota oli pakko mennä karkuun alakerran keittiöön mikäli mieli tehdä ruokaa. Muita käytössämme olevia tiloja olivat alakerrassa oleva hengaus-tila, joka valitettasti oli suurimman osan ajasta lukittuna, viihtyisä takapiha sekä lukollinen pyörävarasto. Hintaan sisältyi sähkön ja veden lisksi myös netti. Kaikenkaikkiaan voidaan sanoa hinta-laatusuhteen olleen alhaista luokkaa huokeasta hinnasta huolimatta. Asuntolassa tutustui kuitenkin uusiin ihmisiin helposti, mikä pehmensi kokemusta.	?		32	asun#tola	dobj	huomata	Plur.1	183	https://puolukka.uta.fi/jhout/analyzer/index.php?id=32
Asunnon hankin vasta paikan päältä.	Asunnon hankin vasta paikan päältä. Asuin ensimmäisen viikon hostellissa ja etsin kimppakämppää Compartodepto.cl nimiseltä sivustolta. Päädyin asumaan Providencian alueelle, ja sen lisäksi muun muassa Ñuñoa ja Las Condes ovat Santiagon turvallisimpia, mutta myös kalleimpia asuinalueita. Suosittelen panostamaan turvallisuuteen, vaikka vuokrat hipovatkin näillä alueilla melkein Suomen vuokratasoa.	kyllä		162	asunto	dobj	hankkia	Sing.1	46	https://puolukka.uta.fi/jhout/analyzer/index.php?id=162
Asuntoa minun ei tarvinnut hankkia.	Asuntoa minun ei tarvinnut hankkia. Yleisesti ottaen Italiassa asuntoa vuokratessa kannattaa käyttää välittäjää ja sopia kaikesta kirjallisesti. Takuuvuokra voi vastata useamman kuukauden vuokraa. Kannattaa ottaa huomioon, että vedestä, sähköstä ja kaasusta maksetaan yleensä erikseen. Etenkin sähkö on Suomeen verrattuna kallista, minkä vuoksi asuntoja ei lämmitetä sähköllä. Kannattaakin selvittää, miten asuntoa lämmitetään (esim. takka, pelletit) ja millaiset ovat lämmityksen kustannukset. Asuntoja pidetään talvisaikaan viileähköinä kustannussyistä.	kyllä		266	asunto	dobj	hankkia	--	17	https://puolukka.uta.fi/jhout/analyzer/index.php?id=266
